Sr Ca Yb Li Mg Zn,Cu Ni Al Co Cr Fe Si,Zr Ti V Cu Ni Be,Co Fe Si B,Al Co Cr Cu Fe Ni,Cd In Na,Y Sc Al Co,Co Cr Fe Mn Ni,Cu Ge Li,Cr Nb Ti Zr,Ti Zr Nb Mo,Al Ru Ti,Au Pd Cu Si,Cu Zr Al Ag,Ti Ni Cu Sn Be,Cu Mg Sb,La Al Ni,Ce Al Ni Cu,Nd Al Ni Cu Fe,Mg Cu Ag Pd Gd,Sr Ca Yb Mg Zn,Zr Hf Ti Al Cu Ni,Al Cr Mo Ta Ti Zr,Nb Mo Ta W,Bi Cu Mg
1.0 1.0 1.0 0.55 0.45 1.0,0.5 1.0 1.0 1.0 1.0 1.0 1.0,1.0 1.0 1.0 1.0 1.0 1.0,1.0 1.0 1.0 1.0,0.25 1.0 1.0 0.75 1.0 1.0,1.0 3.0 2.0,36.0 20.0 24.0 20.0,1.5 0.5 1.0 0.5 1.0,1.0 1.0 2.0,1.0 1.0 1.0 1.0,1.0 1.0 1.0 1.0,16.0 8.0 6.0,52.0 2.3 29.2 16.5,43.0 43.0 7.0 7.0,50.0 20.0 25.0 3.0 7.0,1.0 1.0 1.0,55.0 25.0 20.0,60.0 10.0 10.0 20.0,60.0 10.0 10.0 10.0 10.0,65.0 15.0 5.0 5.0 10.0,1.0 1.0 1.0 1.0 1.0,1.0 1.0 1.0 1.0 1.0 1.0,1.0 1.0 1.0 1.0 1.0 1.0,1.0 1.0 1.0 1.0,1.0 1.0 1.0
-8.0253,-13.9667,-25.8019,-7.7038,-2.6265,-3.9336,-40.9913,-3.4229,-6.2427,-5.1768,-2.3532,-44.9123,-5.1149,-27.0323,-22.5792,-11.8427,-43.5092,-29.934,-25.1976,-14.9677,-9.4643,-39.9119,-22.1953,-6.5605,-5.3556
14.5251,16.0055,14.8967,11.5257,14.3159,8.4088,11.2578,12.6618,8.6442,11.5257,11.5257,8.3939,9.0087,9.1297,10.7497,9.1339,8.2913,9.0531,10.2057,9.0989,13.3809,14.8967,14.8967,11.5257,9.1339
1.6722,1.9017,1.0486,2.8482,9.5263,0.9353,0.4361,6.6095,1.2035,5.0089,11.8954,0.2955,2.4874,0.5575,0.807,0.8187,0.2354,0.3564,0.5513,0.678,1.3792,0.659,1.4954,5.5476,1.6061
0.2612,0.1176,0.2047,0.0779,0.1032,0.3914,0.2515,0.118,0.489,0.1244,0.307,0.2707,0.3157,0.2763,0.1818,0.3194,0.3353,0.357,0.3382,0.2981,0.2558,0.2424,0.2573,0.3637,0.3103
4.090000000000001,7.000000000000002,5.999999999999999,6.0,8.4,3.8333333333333335,4.2,8.444444444444445,4.25,4.75,4.75,4.533333333333333,9.822,7.43,6.6761904761904765,6.0,4.4,5.3,4.999999999999999,4.3,4.200000000000001,6.0,4.666666666666666,5.5,6.0
923.9119,1659.4392307692306,1816.295,1903.75,1747.739,437.535,1588.0728,1786.7777777777776,869.1375,2249.75,2428.75,1581.2506666666668,1412.28059,1650.6691,1695.138,1061.5166666666669,1235.1175000000003,1178.501,1361.2240000000002,1115.2645,975.536,1765.7066666666667,2228.078333333333,3157.75,941.7233333333332
AM,AM,IM,AM,FCC,IM,AM,FCC,IM,BCC+Laves,BCC,IM,AM,AM,AM,IM,AM,AM,AM,AM,AM,IM+SS,AM,BCC,IM
AM,AM,IM,AM,SS,IM,AM,SS,IM,IM+SS,SS,IM,AM,AM,AM,IM,AM,AM,AM,AM,AM,IM+SS,AM,SS,IM
1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0
0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT IM,NOT IM,IM,NOT IM,NOT IM,IM,NOT IM,NOT IM,IM,IM,NOT IM,IM,NOT IM,NOT IM,NOT IM,IM,NOT IM,NOT IM,NOT IM,NOT IM,NOT IM,IM,NOT IM,NOT IM,IM
Zhou_2019,Zhou_2019,Sheng_2011,Zhou_2019,Miracle_2017,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019,Zhou_2019
